text,openness,conscientiousness,extraversion,agreeableness,neuroticism
I sometimes worry about things. Imagine must center yourself. Vote step base mission attack relationship necessary.,0.5710765439105722,0.4999980287933559,0.578952321712635,0.38537543232300786,0.7612598163129002
I sometimes worry about things. I always make sure to meet deadlines and commitments. Plant central your future responsibility great song wonder. End hold have employee process role outside. Design rest week hear opportunity present. Huge education near cold nature second notice.,0.3425690014233152,0.6721723251223352,0.4221070452686164,0.4616701018155533,0.6290832458437815
I'm always curious about how things work. Spend direction interest member. Poor season apply main event all factor. I love exploring new ideas and experiences.,0.7280276515852113,0.31479447304338304,0.5610522424737027,0.5221623830637462,0.3374891533725133
Nature three even about. General each create. Science product style strategy floor.,0.5817995872465502,0.3539936728059311,0.5100216894354413,0.43305998769426207,0.4642500053725458
We involve cell training type expert worry. Southern affect six leader fact south trip. Responsibility and reliability are key values.,0.4462815379954789,0.6171487161310982,0.3395228049269165,0.5453091261034223,0.43429007075728643
Cup wife street city drug foreign. Me off her reveal.,0.46058302909363424,0.5616653107459355,0.40774740141137145,0.4530567128392246,0.5038906648713685
Apply ten reality down base foreign attention. This these conference area phone exist.,0.36867737479572954,0.4360900873420793,0.5378215732178293,0.2609681963439763,0.2811658106423754
I'm outgoing and love to engage with others. Leave here trip after. Visit indeed president go once growth.,0.44353360486743787,0.5393945292432885,0.7890238141861243,0.44440692232517043,0.29901091863280255
Social gatherings are where I thrive. Perhaps lay he political at. She management wife ten.,0.24930896193252364,0.44188602939804433,0.7284254827656883,0.28100323893408413,0.4442968459407849
I value harmony in relationships. Interest process debate figure ok final agreement claim. Beat church recognize can trip. Group activities and team projects energize me. I try to see the best in everyone.,0.5244692136507435,0.39217203825950553,0.6184688177651962,0.6335167869193328,0.3030482902246939
I sometimes worry about things. Site run huge toward money. Protect situation whatever anyone indeed.,0.5573775951217498,0.5634381493839513,0.4526890617616879,0.3541015039925027,0.6686495854402112
I'm sensitive to criticism and feedback. Decision surface hour government name. Somebody bill book serve.,0.31924145261298115,0.3968002610666405,0.561029535158082,0.5935477160375531,0.6765380311131137
I believe in being prepared and systematic. It's important to plan ahead and stay organized. Teacher and structure center.,0.3751455143160903,0.6476910744067034,0.502905840182418,0.5001339480965069,0.23681158163837812
I enjoy meeting new people and socializing. I love being the center of attention. Exactly sometimes team worry project. Dinner then quickly skill carry total health. Respond appear form somebody his image.,0.5311250073031311,0.43308781613879355,0.8738835988569091,0.3334155416726244,0.34298302628327726
Data participant concern TV. Risk property month its government crime help. Past drive ok town community guess I.,0.5839275843236352,0.22985789553816377,0.41636247353753114,0.46230597192213824,0.5225985942739853
Mind town single each yes but rule camera. Painting begin present interesting week girl many. It's important to plan ahead and stay organized. Group activities and team projects energize me.,0.2599047688309294,0.6002028011751426,0.7073517695052194,0.4650560531117153,0.17305774165587504
"I'm sensitive to criticism and feedback. I love exploring new ideas and experiences. Changes can be stressful and overwhelming. Week federal miss action consider before economic. Responsibility its stop star. Details matter, and I pay attention to them. I believe in being prepared and systematic.",0.8056421487822866,0.7947527411292489,0.33196540999004864,0.5537977536357759,0.7845896552137295
Star whole especially yourself. Just pretty third generation ground court goal. He sort someone himself southern clearly. Responsibility and reliability are key values.,0.4178085669265586,0.6059671818041131,0.3417291266239581,0.5624158616486882,0.4652064403408349
Kindness and compassion are important. Beautiful enter southern compare plant check amount. Citizen shoulder speak report election.,0.48412597639417,0.5837583518547255,0.5012232561284012,0.6320112269338097,0.5516365313474286
I'm sensitive to criticism and feedback. Group activities and team projects energize me. Car protect while about. I'm outgoing and love to engage with others. Helping others brings me joy. Cooperation is better than competition.,0.22368997658693215,0.536803650315756,0.6085901416063131,0.6199545283770362,0.6126143374235652
Uncertainty makes me uncomfortable. Sometimes likely air activity. After read visit night.,0.5879901143019303,0.4177738755182359,0.4939710441362287,0.43732500196751556,0.6101218080709593
"Details matter, and I pay attention to them. Section player design involve. Professional training prove look he. I always make sure to meet deadlines and commitments.",0.5319832905007316,0.6354023372668494,0.44245755011103394,0.5240209912314654,0.44750029864329915
"Thing back against. Political dinner any keep really feel. Details matter, and I pay attention to them. I'm always curious about how things work. I always make sure to meet deadlines and commitments. Innovation and original thinking drive me.",0.7753302839001148,0.7812447775536714,0.2814173572064532,0.352380832406681,0.3391299883935047
Under to learn economic mean. Month his boy back development series world. I always make sure to meet deadlines and commitments.,0.1930880931843868,0.6741578898916973,0.1839034935242093,0.3594220123366988,0.49518940834974795
I value harmony in relationships. Woman relate he development would work you. Consider three respond explain throughout pretty responsibility. High too author executive whether education. Helping others brings me joy.,0.37960522236086874,0.4566134259376191,0.20583479051770961,0.6435214961915761,0.5272808411718869
"Responsibility and reliability are key values. Details matter, and I pay attention to them. Up fire PM statement. Time note trade. Helping others brings me joy.",0.42800353059245827,0.8027602784432772,0.39116911283793665,0.8007451130638917,0.2913127623721318
"Travel same water area new picture. Practice miss truth among fact. Executive herself plan. Changes can be stressful and overwhelming. Uncertainty makes me uncomfortable. Details matter, and I pay attention to them.",0.2476665408451268,0.6536519073825402,0.3913589318884194,0.5338010756469829,0.6158990042726378
Hour another animal local. Tell another father whatever daughter. Relate girl shake. I'm always curious about how things work.,0.6852715757512183,0.39168859089395736,0.5129021062296616,0.5057336197454099,0.20212639134674712
Same western available newspaper. Baby future teacher area professor somebody reveal. As specific that special. I always make sure to meet deadlines and commitments. Responsibility and reliability are key values.,0.5287069759539015,0.6031815638972188,0.5917019644148873,0.5578513973784074,0.5772462489222949
Helping others brings me joy. Address key without order. Statement either girl. Skin area live company fly significant person. I'm outgoing and love to engage with others. Kindness and compassion are important. I'm always curious about how things work.,0.6138209257241583,0.3932166092937043,0.7558437956414331,0.6381407477152442,0.43615110492642617
Cooperation is better than competition. I sometimes worry about things. Republican teacher money special all hand. Stuff tax history sell factor citizen dog. Lay seem brother attack.,0.4258149577853306,0.4568627898952932,0.5708017153906192,0.6576118691790073,0.7541257623297952
Test send begin gas different mother. Record other American it. We over organization same finally institution own.,0.43542247816317764,0.3610867138007691,0.3986359073417118,0.37392080873821615,0.5858031859146313
Heart president sport leave rich region much every. Imagine begin Mrs once.,0.43473369579256205,0.4174359989418678,0.44391466979287564,0.4075157042533458,0.3589662998393188
Movement star impact speak rock. I'm always curious about how things work.,0.726696522143129,0.37385192151741464,0.5814929173082449,0.38342358854636943,0.5518394201787414
Prove right blue take. Sign clear actually music need network. Innovation and original thinking drive me.,0.7543045168571175,0.3882567861262089,0.33733506649993067,0.47046039703648485,0.30521200063477727
Responsibility and reliability are key values. Price call than gas. History thank maintain ahead. Write cultural senior long us mean. I believe in being prepared and systematic. I'm outgoing and love to engage with others. I'm sensitive to criticism and feedback.,0.34389030325694403,0.8488377408382459,0.6215712902088891,0.3492156616691006,0.6701098917014969
Between finish among become area. Military drop protect similar task send create institution. Around audience star adult class resource everyone. Cooperation is better than competition.,0.3896599827464701,0.5623233610532327,0.47889108339199415,0.6322958320922248,0.5756644043946283
Rule account certain near present. Dog green fall new know.,0.4455492976361288,0.36675309845190895,0.3172534490421861,0.5676216252935712,0.2441101690577991
Help option price establish. Care allow organization religious religious wall reason.,0.48424679606932247,0.4869077062944523,0.4644807441071712,0.5246050645663831,0.3960116271777245
Enough air bill answer. Change three rise teach officer instead without.,0.31256562304018004,0.5549567873031864,0.4204145697026502,0.582186353323408,0.49830014633885406
I experience mood swings occasionally. I try to see the best in everyone. Town rest bar many. Campaign article debate many pay.,0.5574968441184456,0.42699510888321485,0.40343001679696255,0.7814530012217807,0.8070068990835246
Section again allow. Identify poor I thousand window. Specific enjoy recognize almost window capital doctor strong. I love exploring new ideas and experiences.,0.7233283700572213,0.5316778333464912,0.48240159680859757,0.26949697319455507,0.543510063218079
Send process southern occur start message attention. Cup value who help. Mrs seek she teacher environment woman. Cooperation is better than competition.,0.3838733235058664,0.28229025969241056,0.5237131062858109,0.8062756168448014,0.29102783541993743
Already senior miss within. Office cup market employee both water. Many might out year to three.,0.485263965059535,0.4391869016884008,0.5577014259298754,0.5898677939959726,0.39321687559753693
"Then figure prepare around total. Me capital act compare. Details matter, and I pay attention to them.",0.41865006710967373,0.6019880410474767,0.36650791581736447,0.3105151617921931,0.5258141543524597
I value harmony in relationships. Cooperation is better than competition. I love being the center of attention. Know establish nor think. First reflect audience everyone get measure subject.,0.47676035629074376,0.503201541949907,0.6552314911882116,0.6154069747357566,0.4736061040220821
Stage sure message standard finally. Approach fast nation use religious real cold.,0.4898169741904608,0.3367105436749861,0.25918019652585694,0.49212403882908234,0.5861445327507148
I believe in being prepared and systematic. I love exploring new ideas and experiences. Price whom among past world today wish. Responsibility training natural nice industry voice. I'm outgoing and love to engage with others. Art and creativity are essential parts of life. Social gatherings are where I thrive.,0.6695592088323965,0.6908243340568366,0.6917078284168358,0.5918671197991786,0.41042654446825927
Cooperation is better than competition. I always make sure to meet deadlines and commitments. It's important to plan ahead and stay organized. Cup growth behavior feel risk shoulder. Pay left establish degree politics able. Call course worker region them myself security.,0.4212387979716819,0.6153818046183048,0.5239605872593218,0.6295964039942913,0.5135291542305529
I try to see the best in everyone. Rule rate ago treat art hard situation. Speech commercial tax window voice herself member. Rate success society likely. Behind section get environment owner maintain worry.,0.47771324815883665,0.4976530249177871,0.4102717080549305,0.7372620766985877,0.4220025864708488
I enjoy meeting new people and socializing. Nation than paper something respond. Understand both step month artist red expect trouble. Sport clear base suddenly. Behavior energy although less language throw wait Republican.,0.5582370725420565,0.406371408892627,0.7277107586232752,0.2919606367443312,0.3643522288071613
Poor TV together assume. I love exploring new ideas and experiences.,0.6202236484076409,0.529004788865565,0.4124426077969264,0.590147137132827,0.4753133448014305
Already opportunity we my somebody behavior to key. Dark billion before attack idea night. Group activities and team projects energize me.,0.43167441465334894,0.43452290115103004,0.679356007434675,0.5949794477376509,0.5742675397659432
Represent draw drop. Either human remember dog. I value harmony in relationships. Kindness and compassion are important.,0.5068988240297209,0.48190836392378095,0.3823944993272273,0.6743720939239151,0.32544469820016875
I enjoy meeting new people and socializing. Social gatherings are where I thrive. Art and creativity are essential parts of life. Drop ahead cultural environmental far more. Off few rest security. Quite western begin social citizen. I'm sensitive to criticism and feedback. Uncertainty makes me uncomfortable.,0.7254122439267836,0.5230027494437641,0.681118779462322,0.4440082220169767,0.6904932472717025
Helping others brings me joy. I love being the center of attention. Changes can be stressful and overwhelming. I love exploring new ideas and experiences. Total other blood discussion management social board. Remember need real church purpose probably experience. I experience mood swings occasionally. Art and creativity are essential parts of life.,0.6103484165784456,0.4801703220918906,0.6153955592469398,0.6552381363437205,0.6630489581508555
Experience number the board responsibility half above seek. Hit half answer pull international degree. Kindness and compassion are important.,0.47026150026317687,0.30639282424269937,0.14822231777118863,0.6627369767082866,0.4948752666384451
Everyone drive kid service concern politics. Situation international office foreign.,0.38067740282605694,0.5322252729001709,0.54242191182565,0.5358779493083695,0.41762673226935737
Operation east special catch room nice whatever. People want religious by next. Name positive site focus former. I experience mood swings occasionally.,0.5920958491349052,0.331001303498539,0.43176507617201626,0.3493496422242557,0.6006192122219899
Write eight test approach build. Watch accept agree treat.,0.3856683135306662,0.27150569674924585,0.5443652974936523,0.5440425531842751,0.34060052216284464
Innovation and original thinking drive me. Yourself happen with series up low. Arrive more deal start benefit miss.,0.6341659504960727,0.4968600500698377,0.42418978665195023,0.18971005087846893,0.5887448183768792
Food today bag. Question question public thought. I'm sensitive to criticism and feedback. Changes can be stressful and overwhelming.,0.5324935113992202,0.5402784466406307,0.17302494834821705,0.5248716742121049,0.6262360291985801
Road stock child mother force attack behind.,0.5443146917689671,0.5404653707907128,0.4902188084028333,0.4966288497019217,0.5965967690271946
Wall loss people purpose sound only. Service quite note attack fly myself. Interesting environment much child four.,0.5354105053943293,0.4161522618505062,0.39308902791478867,0.3358737768461352,0.36844622300733093
Number catch year cultural peace change. Personal hear manage.,0.4449489324606515,0.5983023458019086,0.3262490014088052,0.3777037892222203,0.4576619535342407
Changes can be stressful and overwhelming. Make participant research identify year become nation. Nothing information light sense chair. I'm sensitive to criticism and feedback.,0.3649045137982618,0.37318452504406335,0.4249212991257723,0.38012379072976227,0.6589694420238472
I sometimes worry about things. Difficult player company finally never. Many situation walk single send maintain.,0.342380807382035,0.47283562820986696,0.20382377297789905,0.5028139389170989,0.638697524796967
Against note sport large on activity far dark. Recently political doctor central. I enjoy meeting new people and socializing.,0.18855647705816242,0.4795311291917173,0.6220991867805701,0.5899407512037215,0.2773626701076989
I'm sensitive to criticism and feedback. My its anyone process growth. Changes can be stressful and overwhelming.,0.41597397102603195,0.46152200426832307,0.5386432065117508,0.5238239652787978,0.6264446112757664
